dc (V),deriv(i("/NM0/D" ?result "dc")),dc (V),NM0:d (A)
852.0E-3,16.25E-3,850.0E-3,3.939E-3
854.0E-3,16.24E-3,852.0E-3,3.972E-3
856.0E-3,16.22E-3,854.0E-3,4.004E-3
858.0E-3,16.21E-3,856.0E-3,4.037E-3
860.0E-3,16.20E-3,858.0E-3,4.069E-3
862.0E-3,16.19E-3,860.0E-3,4.101E-3
864.0E-3,16.17E-3,862.0E-3,4.134E-3
866.0E-3,16.16E-3,864.0E-3,4.166E-3
868.0E-3,16.14E-3,866.0E-3,4.199E-3
870.0E-3,16.12E-3,868.0E-3,4.231E-3
872.0E-3,16.10E-3,870.0E-3,4.263E-3
874.0E-3,16.09E-3,872.0E-3,4.295E-3
876.0E-3,16.07E-3,874.0E-3,4.327E-3
878.0E-3,16.05E-3,876.0E-3,4.360E-3
880.0E-3,16.03E-3,878.0E-3,4.392E-3
882.0E-3,16.00E-3,880.0E-3,4.424E-3
884.0E-3,15.98E-3,882.0E-3,4.456E-3
886.0E-3,15.96E-3,884.0E-3,4.488E-3
888.0E-3,15.94E-3,886.0E-3,4.520E-3
890.0E-3,15.91E-3,888.0E-3,4.551E-3
892.0E-3,15.89E-3,890.0E-3,4.583E-3
894.0E-3,15.86E-3,892.0E-3,4.615E-3
896.0E-3,15.84E-3,894.0E-3,4.647E-3
898.0E-3,15.81E-3,896.0E-3,4.678E-3
900.0E-3,15.78E-3,898.0E-3,4.710E-3
902.0E-3,15.76E-3,900.0E-3,4.742E-3
904.0E-3,15.73E-3,902.0E-3,4.773E-3
906.0E-3,15.70E-3,904.0E-3,4.805E-3
908.0E-3,15.67E-3,906.0E-3,4.836E-3
910.0E-3,15.64E-3,908.0E-3,4.867E-3
912.0E-3,15.61E-3,910.0E-3,4.899E-3
914.0E-3,15.58E-3,912.0E-3,4.930E-3
916.0E-3,15.55E-3,914.0E-3,4.961E-3
918.0E-3,15.52E-3,916.0E-3,4.992E-3
920.0E-3,15.49E-3,918.0E-3,5.023E-3
922.0E-3,15.46E-3,920.0E-3,5.054E-3
924.0E-3,15.43E-3,922.0E-3,5.085E-3
926.0E-3,15.40E-3,924.0E-3,5.116E-3
928.0E-3,15.36E-3,926.0E-3,5.147E-3
930.0E-3,15.33E-3,928.0E-3,5.178E-3
932.0E-3,15.30E-3,930.0E-3,5.208E-3
934.0E-3,15.26E-3,932.0E-3,5.239E-3
936.0E-3,15.23E-3,934.0E-3,5.269E-3
938.0E-3,15.20E-3,936.0E-3,5.300E-3
940.0E-3,15.16E-3,938.0E-3,5.330E-3
942.0E-3,15.13E-3,940.0E-3,5.360E-3
944.0E-3,15.09E-3,942.0E-3,5.391E-3
946.0E-3,15.06E-3,944.0E-3,5.421E-3
948.0E-3,15.02E-3,946.0E-3,5.451E-3
950.0E-3,14.99E-3,948.0E-3,5.481E-3
952.0E-3,14.95E-3,950.0E-3,5.511E-3
954.0E-3,14.91E-3,952.0E-3,5.541E-3
956.0E-3,14.88E-3,954.0E-3,5.571E-3
958.0E-3,14.84E-3,956.0E-3,5.601E-3
960.0E-3,14.80E-3,958.0E-3,5.630E-3
962.0E-3,14.77E-3,960.0E-3,5.660E-3
964.0E-3,14.73E-3,962.0E-3,5.689E-3
966.0E-3,14.69E-3,964.0E-3,5.719E-3
968.0E-3,14.66E-3,966.0E-3,5.748E-3
970.0E-3,14.62E-3,968.0E-3,5.778E-3
972.0E-3,14.58E-3,970.0E-3,5.807E-3
974.0E-3,14.54E-3,972.0E-3,5.836E-3
976.0E-3,14.50E-3,974.0E-3,5.865E-3
978.0E-3,14.47E-3,976.0E-3,5.894E-3
980.0E-3,14.43E-3,978.0E-3,5.923E-3
982.0E-3,14.39E-3,980.0E-3,5.952E-3
984.0E-3,14.35E-3,982.0E-3,5.981E-3
