dc (V),V5:p (A),dc (V),1/deriv(i("/V5/PLUS" ?result "dc"))
611.5E-3,227.8E-6,615.0E-3,-1.941E3
615.0E-3,226.0E-6,618.5E-3,-1.863E3
618.5E-3,224.2E-6,622.0E-3,-1.784E3
622.0E-3,222.2E-6,625.5E-3,-1.706E3
625.5E-3,220.1E-6,629.0E-3,-1.629E3
629.0E-3,218.0E-6,632.5E-3,-1.552E3
632.5E-3,215.7E-6,636.0E-3,-1.477E3
636.0E-3,213.4E-6,639.5E-3,-1.403E3
639.5E-3,210.9E-6,643.0E-3,-1.331E3
643.0E-3,208.2E-6,646.5E-3,-1.261E3
646.5E-3,205.5E-6,650.0E-3,-1.194E3
650.0E-3,202.5E-6,653.5E-3,-1.129E3
653.5E-3,199.4E-6,657.0E-3,-1.067E3
657.0E-3,196.2E-6,660.5E-3,-1.007E3
660.5E-3,192.7E-6,664.0E-3,-951.0
664.0E-3,189.0E-6,667.5E-3,-897.5
667.5E-3,185.1E-6,671.0E-3,-847.0
671.0E-3,181.0E-6,674.5E-3,-799.5
674.5E-3,176.6E-6,678.0E-3,-754.8
678.0E-3,172.0E-6,681.5E-3,-712.9
681.5E-3,167.1E-6,685.0E-3,-673.8
685.0E-3,161.9E-6,688.5E-3,-637.2
688.5E-3,156.4E-6,692.0E-3,-603.1
692.0E-3,150.6E-6,695.5E-3,-571.4
695.5E-3,144.4E-6,699.0E-3,-541.9
699.0E-3,138.0E-6,702.5E-3,-514.4
702.5E-3,131.2E-6,706.0E-3,-488.8
706.0E-3,124.0E-6,709.5E-3,-465.1
709.5E-3,116.5E-6,713.0E-3,-443.0
713.0E-3,108.6E-6,716.5E-3,-422.4
716.5E-3,100.3E-6,720.0E-3,-403.3
720.0E-3,91.62E-6,723.5E-3,-385.4
723.5E-3,82.54E-6,727.0E-3,-368.8
727.0E-3,73.05E-6,730.5E-3,-353.3
730.5E-3,63.14E-6,734.0E-3,-338.8
734.0E-3,52.81E-6,737.5E-3,-325.2
737.5E-3,42.05E-6,741.0E-3,-312.5
741.0E-3,30.85E-6,744.5E-3,-300.6
744.5E-3,19.21E-6,748.0E-3,-289.4
748.0E-3,7.114E-6,751.5E-3,-278.6
751.5E-3,-5.450E-6,755.0E-3,-265.7
755.0E-3,-18.62E-6,758.5E-3,-253.4
758.5E-3,-32.44E-6,762.0E-3,-242.0
762.0E-3,-46.90E-6,765.5E-3,-231.6
765.5E-3,-62.01E-6,769.0E-3,-221.9
769.0E-3,-77.78E-6,772.5E-3,-213.0
772.5E-3,-94.21E-6,776.0E-3,-204.8
776.0E-3,-111.3E-6,779.5E-3,-197.1
779.5E-3,-129.1E-6,783.0E-3,-190.0
783.0E-3,-147.5E-6,786.5E-3,-183.4
786.5E-3,-166.6E-6,790.0E-3,-177.2
790.0E-3,-186.3E-6,793.5E-3,-171.4
793.5E-3,-206.7E-6,797.0E-3,-166.0
797.0E-3,-227.8E-6,800.5E-3,-161.0
800.5E-3,-249.6E-6,804.0E-3,-156.3
804.0E-3,-271.9E-6,807.5E-3,-151.8
807.5E-3,-295.0E-6,811.0E-3,-147.7
811.0E-3,-318.7E-6,814.5E-3,-143.7
814.5E-3,-343.1E-6,818.0E-3,-140.0
818.0E-3,-368.0E-6,821.5E-3,-136.6
821.5E-3,-393.7E-6,825.0E-3,-133.3
825.0E-3,-419.9E-6,828.5E-3,-130.2
828.5E-3,-446.8E-6,832.0E-3,-127.3
832.0E-3,-474.3E-6,835.5E-3,-124.5
835.5E-3,-502.4E-6,839.0E-3,-121.9
839.0E-3,-531.1E-6,842.5E-3,-119.4
842.5E-3,-560.5E-6,846.0E-3,-117.1
846.0E-3,-590.4E-6,849.5E-3,-114.8
849.5E-3,-620.8E-6,853.0E-3,-112.7
853.0E-3,-651.9E-6,856.5E-3,-110.7
856.5E-3,-683.5E-6,860.0E-3,-108.8
860.0E-3,-715.7E-6,863.5E-3,-106.9
863.5E-3,-748.4E-6,867.0E-3,-105.2
867.0E-3,-781.7E-6,870.5E-3,-103.5
870.5E-3,-815.5E-6,874.0E-3,-101.9
874.0E-3,-849.8E-6,877.5E-3,-100.4
877.5E-3,-884.7E-6,881.0E-3,-98.98
881.0E-3,-920.0E-6,884.5E-3,-97.60
884.5E-3,-955.9E-6,888.0E-3,-96.27
888.0E-3,-992.3E-6,891.5E-3,-95.00
891.5E-3,-1.029E-3,895.0E-3,-93.78
895.0E-3,-1.066E-3,898.5E-3,-92.61
898.5E-3,-1.104E-3,902.0E-3,-91.48
902.0E-3,-1.142E-3,905.5E-3,-90.40
905.5E-3,-1.181E-3,909.0E-3,-89.37
909.0E-3,-1.220E-3,912.5E-3,-88.37
912.5E-3,-1.260E-3,916.0E-3,-87.41
916.0E-3,-1.300E-3,919.5E-3,-86.48
919.5E-3,-1.340E-3,923.0E-3,-85.59
923.0E-3,-1.381E-3,926.5E-3,-84.73
926.5E-3,-1.423E-3,930.0E-3,-83.90
