dc (V),NM1:d (A),dc (V),1/deriv(i("/NM1/D" ?result "dc"))
784.0E-3,543.9E-6,786.0E-3,3.642E3
786.0E-3,544.5E-6,788.0E-3,3.647E3
788.0E-3,545.0E-6,790.0E-3,3.653E3
790.0E-3,545.6E-6,792.0E-3,3.658E3
792.0E-3,546.1E-6,794.0E-3,3.663E3
794.0E-3,546.7E-6,796.0E-3,3.668E3
796.0E-3,547.2E-6,798.0E-3,3.674E3
798.0E-3,547.8E-6,800.0E-3,3.679E3
800.0E-3,548.3E-6,802.0E-3,3.684E3
802.0E-3,548.8E-6,804.0E-3,3.689E3
804.0E-3,549.4E-6,806.0E-3,3.694E3
806.0E-3,549.9E-6,808.0E-3,3.699E3
808.0E-3,550.5E-6,810.0E-3,3.705E3
810.0E-3,551.0E-6,812.0E-3,3.710E3
812.0E-3,551.5E-6,814.0E-3,3.715E3
814.0E-3,552.1E-6,816.0E-3,3.720E3
816.0E-3,552.6E-6,818.0E-3,3.725E3
818.0E-3,553.2E-6,820.0E-3,3.730E3
820.0E-3,553.7E-6,822.0E-3,3.735E3
822.0E-3,554.2E-6,824.0E-3,3.740E3
824.0E-3,554.8E-6,826.0E-3,3.745E3
826.0E-3,555.3E-6,828.0E-3,3.750E3
828.0E-3,555.8E-6,830.0E-3,3.755E3
830.0E-3,556.4E-6,832.0E-3,3.760E3
832.0E-3,556.9E-6,834.0E-3,3.765E3
834.0E-3,557.4E-6,836.0E-3,3.770E3
836.0E-3,558.0E-6,838.0E-3,3.775E3
838.0E-3,558.5E-6,840.0E-3,3.780E3
840.0E-3,559.0E-6,842.0E-3,3.785E3
842.0E-3,559.5E-6,844.0E-3,3.790E3
844.0E-3,560.1E-6,846.0E-3,3.795E3
846.0E-3,560.6E-6,848.0E-3,3.799E3
848.0E-3,561.1E-6,850.0E-3,3.804E3
850.0E-3,561.6E-6,852.0E-3,3.809E3
852.0E-3,562.2E-6,854.0E-3,3.814E3
854.0E-3,562.7E-6,856.0E-3,3.819E3
856.0E-3,563.2E-6,858.0E-3,3.824E3
858.0E-3,563.7E-6,860.0E-3,3.828E3
860.0E-3,564.3E-6,862.0E-3,3.833E3
862.0E-3,564.8E-6,864.0E-3,3.838E3
864.0E-3,565.3E-6,866.0E-3,3.843E3
866.0E-3,565.8E-6,868.0E-3,3.847E3
868.0E-3,566.3E-6,870.0E-3,3.852E3
870.0E-3,566.9E-6,872.0E-3,3.857E3
872.0E-3,567.4E-6,874.0E-3,3.861E3
874.0E-3,567.9E-6,876.0E-3,3.866E3
876.0E-3,568.4E-6,878.0E-3,3.871E3
878.0E-3,568.9E-6,880.0E-3,3.875E3
880.0E-3,569.5E-6,882.0E-3,3.880E3
882.0E-3,570.0E-6,884.0E-3,3.885E3
884.0E-3,570.5E-6,886.0E-3,3.889E3
886.0E-3,571.0E-6,888.0E-3,3.894E3
888.0E-3,571.5E-6,890.0E-3,3.899E3
890.0E-3,572.0E-6,892.0E-3,3.903E3
892.0E-3,572.5E-6,894.0E-3,3.908E3
894.0E-3,573.1E-6,896.0E-3,3.912E3
896.0E-3,573.6E-6,898.0E-3,3.917E3
898.0E-3,574.1E-6,900.0E-3,3.921E3
900.0E-3,574.6E-6,902.0E-3,3.926E3
902.0E-3,575.1E-6,904.0E-3,3.930E3
904.0E-3,575.6E-6,906.0E-3,3.935E3
906.0E-3,576.1E-6,908.0E-3,3.939E3
908.0E-3,576.6E-6,910.0E-3,3.944E3
910.0E-3,577.1E-6,912.0E-3,3.948E3
912.0E-3,577.6E-6,914.0E-3,3.952E3
914.0E-3,578.1E-6,916.0E-3,3.957E3
916.0E-3,578.6E-6,918.0E-3,3.961E3
918.0E-3,579.1E-6,920.0E-3,3.966E3
920.0E-3,579.7E-6,922.0E-3,3.970E3
922.0E-3,580.2E-6,924.0E-3,3.974E3
924.0E-3,580.7E-6,926.0E-3,3.979E3
926.0E-3,581.2E-6,928.0E-3,3.983E3
928.0E-3,581.7E-6,930.0E-3,3.987E3
930.0E-3,582.2E-6,932.0E-3,3.992E3
932.0E-3,582.7E-6,934.0E-3,3.996E3
934.0E-3,583.2E-6,936.0E-3,4.000E3
936.0E-3,583.7E-6,938.0E-3,4.004E3
938.0E-3,584.2E-6,940.0E-3,4.009E3
940.0E-3,584.7E-6,942.0E-3,4.013E3
942.0E-3,585.2E-6,944.0E-3,4.017E3
944.0E-3,585.7E-6,946.0E-3,4.021E3
946.0E-3,586.2E-6,948.0E-3,4.026E3
948.0E-3,586.7E-6,950.0E-3,4.030E3
950.0E-3,587.2E-6,952.0E-3,4.034E3
952.0E-3,587.6E-6,954.0E-3,4.038E3
954.0E-3,588.1E-6,956.0E-3,4.042E3
956.0E-3,588.6E-6,958.0E-3,4.046E3
958.0E-3,589.1E-6,960.0E-3,4.051E3
960.0E-3,589.6E-6,962.0E-3,4.055E3
962.0E-3,590.1E-6,964.0E-3,4.059E3
964.0E-3,590.6E-6,966.0E-3,4.063E3
966.0E-3,591.1E-6,968.0E-3,4.067E3
968.0E-3,591.6E-6,970.0E-3,4.071E3
970.0E-3,592.1E-6,972.0E-3,4.075E3
972.0E-3,592.6E-6,974.0E-3,4.079E3
974.0E-3,593.1E-6,976.0E-3,4.083E3
976.0E-3,593.6E-6,978.0E-3,4.087E3
978.0E-3,594.0E-6,980.0E-3,4.091E3
980.0E-3,594.5E-6,982.0E-3,4.095E3
982.0E-3,595.0E-6,984.0E-3,4.099E3
984.0E-3,595.5E-6,986.0E-3,4.103E3
986.0E-3,596.0E-6,988.0E-3,4.107E3
988.0E-3,596.5E-6,990.0E-3,4.111E3
990.0E-3,597.0E-6,992.0E-3,4.115E3
992.0E-3,597.5E-6,994.0E-3,4.119E3
994.0E-3,597.9E-6,996.0E-3,4.122E3
996.0E-3,598.4E-6,998.0E-3,4.126E3
998.0E-3,598.9E-6,1.000,4.130E3
1.000,599.4E-6, , 
