dc (V),NM0:d (A),V1:p (A),dc (V),deriv(i("/V1/PLUS" ?result "dc")),deriv(i("/NM0/D" ?result "dc"))
506.0E-3,5.905E-3,83.13E-6,508.0E-3,-1.586E-3,2.015E-3
508.0E-3,5.905E-3,79.95E-6,510.0E-3,-1.536E-3,2.074E-3
510.0E-3,5.905E-3,76.88E-6,512.0E-3,-1.487E-3,2.135E-3
512.0E-3,5.905E-3,73.91E-6,514.0E-3,-1.439E-3,2.197E-3
514.0E-3,5.905E-3,71.03E-6,516.0E-3,-1.392E-3,2.261E-3
516.0E-3,5.905E-3,68.24E-6,518.0E-3,-1.346E-3,2.325E-3
518.0E-3,5.905E-3,65.55E-6,520.0E-3,-1.302E-3,2.391E-3
520.0E-3,5.905E-3,62.95E-6,522.0E-3,-1.258E-3,2.459E-3
522.0E-3,5.905E-3,60.43E-6,524.0E-3,-1.215E-3,2.527E-3
524.0E-3,5.905E-3,58.00E-6,526.0E-3,-1.174E-3,2.597E-3
526.0E-3,5.905E-3,55.65E-6,528.0E-3,-1.133E-3,2.669E-3
528.0E-3,5.905E-3,53.39E-6,530.0E-3,-1.094E-3,2.741E-3
530.0E-3,5.905E-3,51.20E-6,532.0E-3,-1.055E-3,2.815E-3
532.0E-3,5.905E-3,49.09E-6,534.0E-3,-1.018E-3,2.890E-3
534.0E-3,5.905E-3,47.05E-6,536.0E-3,-981.6E-6,2.967E-3
536.0E-3,5.905E-3,45.09E-6,538.0E-3,-946.2E-6,3.045E-3
538.0E-3,5.905E-3,43.20E-6,540.0E-3,-911.8E-6,3.124E-3
540.0E-3,5.905E-3,41.37E-6,542.0E-3,-878.4E-6,3.204E-3
542.0E-3,5.905E-3,39.62E-6,544.0E-3,-846.0E-6,3.285E-3
544.0E-3,5.905E-3,37.93E-6,546.0E-3,-814.5E-6,3.368E-3
546.0E-3,5.905E-3,36.30E-6,548.0E-3,-784.0E-6,3.452E-3
548.0E-3,5.905E-3,34.73E-6,550.0E-3,-754.4E-6,3.537E-3
550.0E-3,5.905E-3,33.22E-6,552.0E-3,-725.6E-6,3.624E-3
552.0E-3,5.905E-3,31.77E-6,554.0E-3,-697.8E-6,3.711E-3
554.0E-3,5.905E-3,30.37E-6,556.0E-3,-670.9E-6,3.800E-3
556.0E-3,5.905E-3,29.03E-6,558.0E-3,-644.8E-6,3.890E-3
558.0E-3,5.905E-3,27.74E-6,560.0E-3,-619.5E-6,3.980E-3
560.0E-3,5.905E-3,26.50E-6,562.0E-3,-595.0E-6,4.072E-3
562.0E-3,5.905E-3,25.31E-6,564.0E-3,-571.4E-6,4.165E-3
564.0E-3,5.905E-3,24.17E-6,566.0E-3,-548.5E-6,4.259E-3
566.0E-3,5.905E-3,23.07E-6,568.0E-3,-526.4E-6,4.354E-3
568.0E-3,5.905E-3,22.02E-6,570.0E-3,-505.0E-6,4.450E-3
570.0E-3,5.905E-3,21.01E-6,572.0E-3,-484.4E-6,4.547E-3
572.0E-3,5.905E-3,20.04E-6,574.0E-3,-464.5E-6,4.644E-3
574.0E-3,5.905E-3,19.11E-6,576.0E-3,-445.3E-6,4.743E-3
576.0E-3,5.905E-3,18.22E-6,578.0E-3,-426.7E-6,4.842E-3
578.0E-3,5.905E-3,17.37E-6,580.0E-3,-408.8E-6,4.942E-3
580.0E-3,5.905E-3,16.55E-6,582.0E-3,-391.6E-6,5.043E-3
582.0E-3,5.905E-3,15.77E-6,584.0E-3,-375.0E-6,5.145E-3
584.0E-3,5.905E-3,15.02E-6,586.0E-3,-358.9E-6,5.247E-3
586.0E-3,5.905E-3,14.30E-6,588.0E-3,-343.5E-6,5.350E-3
588.0E-3,5.905E-3,13.61E-6,590.0E-3,-328.6E-6,5.454E-3
590.0E-3,5.905E-3,12.96E-6,592.0E-3,-314.3E-6,5.558E-3
592.0E-3,5.905E-3,12.33E-6,594.0E-3,-300.5E-6,5.662E-3
594.0E-3,5.905E-3,11.73E-6,596.0E-3,-287.3E-6,5.767E-3
596.0E-3,5.905E-3,11.15E-6,598.0E-3,-274.6E-6,5.873E-3
598.0E-3,5.905E-3,10.60E-6,600.0E-3,-262.3E-6,5.979E-3
600.0E-3,5.905E-3,10.08E-6,602.0E-3,-250.5E-6,6.085E-3
602.0E-3,5.905E-3,9.577E-6,604.0E-3,-239.2E-6,6.192E-3
604.0E-3,5.905E-3,9.098E-6,606.0E-3,-228.3E-6,6.299E-3
606.0E-3,5.905E-3,8.641E-6,608.0E-3,-217.9E-6,6.407E-3
608.0E-3,5.905E-3,8.206E-6,610.0E-3,-207.9E-6,6.514E-3
610.0E-3,5.905E-3,7.790E-6,612.0E-3,-198.3E-6,6.622E-3
612.0E-3,5.905E-3,7.393E-6,614.0E-3,-189.0E-6,6.730E-3
614.0E-3,5.905E-3,7.015E-6,616.0E-3,-180.2E-6,6.838E-3
616.0E-3,5.905E-3,6.655E-6,618.0E-3,-171.7E-6,6.946E-3
618.0E-3,5.905E-3,6.311E-6,620.0E-3,-163.6E-6,7.054E-3
620.0E-3,5.905E-3,5.984E-6,622.0E-3,-155.8E-6,7.163E-3
622.0E-3,5.905E-3,5.673E-6,624.0E-3,-148.3E-6,7.271E-3
624.0E-3,5.905E-3,5.376E-6,626.0E-3,-141.2E-6,7.379E-3
626.0E-3,5.905E-3,5.094E-6,628.0E-3,-134.4E-6,7.487E-3
628.0E-3,5.905E-3,4.825E-6,630.0E-3,-127.8E-6,7.595E-3
630.0E-3,5.905E-3,4.569E-6,632.0E-3,-121.6E-6,7.703E-3
632.0E-3,5.905E-3,4.326E-6,634.0E-3,-115.6E-6,7.811E-3
